Word	Annotation	Sense	Part of Speech	Level
Adjektiv	das Adjektiv, -e		das	B2+
Adresse	die Adresse, -n		die	A1
AfD	AfD (Alternative für Deutschland)		die	B1
Affäre	die Affäre, -n		die	B2+
Affe	der Affe, -n		der	B2+
afghanisch	afghanisch		adj	B2+
Afghanistan	Afghanistan		das	B1
Afrika	Afrika		das	B1
afrikanisch	afrikanisch		adj	B2+
AG	AG (Aktiengesellschaft)		die	B1
Agentur	die Agentur, -en		die	B2+
aggressiv	aggressiv		adj	B2+
agieren, agiert, agierte, hat agiert	agieren, agiert, agierte, hat agiert		verb	B2+
Ägypten	Ägypten		das	B2+
ah	ah		part	B1
äh	äh		part	B1
aha	aha		part	B1
ähneln, ähnelt, ähnelte, hat geähnelt	ähneln, ähnelt, ähnelte, hat geähnelt		verb	B2+
ahnen, ahnt, ahnte, hat geahnt	ahnen, ahnt, ahnte, hat geahnt		verb	B1
ähnlich	ähnlich		adj	B1
Ähnlichkeit	die Ähnlichkeit, -en		die	B2+
Ahnung	die Ahnung, -en		die	A2
Airline	die Airline, -s		die	B2+
Akademie	die Akademie, -n		die	B2+
akademisch	akademisch		adj	B2+
Akt	der Akt, -e		der	B2+
Akte	die Akte, -n		die	B2+
Akteur	der Akteur, -e		der	B2+
Aktie	die Aktie, -n		die	B1
Aktion	die Aktion, -en		die	B1
Aktionär	der Aktionär, -e		der	B2+
aktiv	aktiv		adj	A2
aktivieren, aktiviert, aktivierte, hat aktiviert	aktivieren, aktiviert, aktivierte, hat aktiviert		verb	B1
Aktivierung	die Aktivierung, -en		die	B2+
Aktivität	die Aktivität, -en		die	B1
aktuell	aktuell		adj	A2
akut	akut		adj	B2+
Akzent	der Akzent, -e		der	B2+
akzeptieren, akzeptiert, akzeptierte, hat akzeptiert	akzeptieren, akzeptiert, akzeptierte, hat akzeptiert		verb	B1
Album	das Album, -en		das	B2+
Algebra	die Algebra, -en		die	B2+
Algorithmus	der Algorithmus, -en		der	B2+
Alkohol	der Alkohol, -e		der	B1
all	all		pron	A1
allein, alleine	allein, alleine		adv	A1
allenfalls	allenfalls		adv	B2+
allerdings	allerdings		adv	B1
allgemein	allgemein		adj	B1
Allianz	die Allianz, -en		die	B2+
allmählich	allmählich		adj	B2+
Alltag	der Alltag, -e		der	B1
alltäglich	alltäglich		adj	B1
allzu	allzu		adv	B1
Alpen	Alpen		die (pl)	B2+
als	als		conj, part	A1
also	also		adv	A1
alt	alt		adj	A1
Alte	die Alte		der, die, das	B2+
Alter	der Alter		das	A1
alternativ	alternativ		adj	B1
Alternative	die Alternative, -n		die	B1
Altstadt	die Altstadt, -̈e		die	B2+
am	am		part	A2
Amerika	Amerika		das	B1
Amerikaner	der Amerikaner, -		der	B1
amerikanisch	amerikanisch		adj	A2
Aminosäure	die Aminosäure, -n		die	B1
Amt	das Amt, -Äer		das	B1
Amtszeit	die Amtszeit, -en		die	B2+
an	an		prep	A1
analog	analog		adj	B1
Analyse	die Analyse, -n		die	A2
analysieren, analysiert, analysierte, hat analysiert	analysieren, analysiert, analysierte, hat analysiert		verb	B1
analytisch	analytisch		adj	B2+
Anatomie	die Anatomie, -n		die	B2+
