Word	Annotation	Sense	Part of Speech	Level	English
aggressiv	aggressiv		adj	B2+	aggressive
definitiv	definitiv		adj	B2+	definite, definitive
locken, lockt, lockte, hat gelockt	locken, lockt, lockte, hat gelockt		verb	B2+	to lure, tempt
löschen, löscht, löschte, hat gelöscht	löschen, löscht, löschte, hat gelöscht		verb	B1	to put out, delete
Mahlzeit	die Mahlzeit, -en		die	B1	meal
samt	samt		prep	B2+	together with, along with
vollziehen, vollzieht, vollzog, hat vollzogen	vollziehen, vollzieht, vollzog, hat vollzogen		verb	B2+	to carry out, administer, take place
Wiederholung	die Wiederholung, -en		die	B1	repetition
aufbringen, bringt auf, brachte auf, hat aufgebracht	aufbringen, bringt auf, brachte auf, hat aufgebracht		verb	B2+	to raise, find
einigermaßen	einigermaßen		adv	B2+	somewhat, fairly, reasonably
Mitteilung	die Mitteilung, -en		die	B2+	communication, announcement
Praktikum, Praktika	das Praktikum, die Praktika		das	A1	internship
verzeichnen, verzeichnet, verzeichnete, hat verzeichnet	verzeichnen, verzeichnet, verzeichnete, hat verzeichnet		verb	B2+	to list, record
Vorsicht	die Vorsicht		die	A1	caution
Auskunft	die Auskunft, -̈e		die	A1	information
Bezirk	der Bezirk, -e		der	B2+	district
Bogen	der Bogen, -		der	A1	bow, arc, sheet
Entdeckung	die Entdeckung, -en		die	B2+	discovery
Ferien	Ferien		die (pl)	A2	school break, vacation
General	der General, -e		der	B2+	general
Messe	die Messe, -n		die	A2	(trade) fair, mass
scheiden, scheidet, schied, hat geschieden	scheiden, scheidet, schied, hat geschieden		verb	B2+	to separate, divorce
schlucken, schluckt, schluckte, hat geschluckt	schlucken, schluckt, schluckte, hat geschluckt		verb	B2+	to swallow
südlich	südlich		adj	B2+	southern
zurücklegen, legt zurück, legte zurück, hat zurückgelegt	zurücklegen, legt zurück, legte zurück, hat zurückgelegt		verb	B2+	to put back, put aside, cover (distance)
anordnen, ordnet an, ordnete an, hat angeordnet	anordnen, ordnet an, ordnete an, hat angeordnet		verb	B2+	to order, arrange
beibringen, bringt bei, brachte bei, hat beigebracht	beibringen, bringt bei, brachte bei, hat beigebracht		verb	B2+	to teach
bevorstehen, steht bevor, stand bevor, hat bevorgestanden	bevorstehen, steht bevor, stand bevor, hat bevorgestanden		verb	B2+	to lie ahead, be imminent
Chemiker	der Chemiker, -		der	B2+	chemist
Erscheinung	die Erscheinung, -en		die	B2+	phenomenon, appearance
herunter	herunter		adv	B2+	down
hinterher	hinterher		adv	B1	after, afterwards
kostenlos	kostenlos		adj	A2	free (of charge)
Maus	die Maus, -̈e		die	B2+	mouse
Unabhängigkeit	die Unabhängigkeit, -en		die	B2+	independence
Vene	die Vene, -n		die	B2+	vein
Bestand	der Bestand, -̈e		der	B2+	continuation, stock, supply
einzigartig	einzigartig		adj	B2+	unique
Kohle	die Kohle, -n		die	B2+	coal
reell	reell		adj	B2+	real
reiten, reitet, ritt, ist geritten	reiten, reitet, ritt, ist geritten		verb	A2	to ride
Smartphone	das Smartphone, -s		das	B2+	smartphone
Werkstatt	die Werkstatt, -̈en		die	A2	workshop, garage
Kälte	die Kälte		die	B1	cold
Kloster	das Kloster, -̈		das	B2+	monastery, convent
Laune	die Laune, -n		die	B1	mood
nachfragen, fragt nach, fragte nach, hat nachgefragt	nachfragen, fragt nach, fragte nach, hat nachgefragt		verb	B2+	to ask (sb), inquire
Toilette	die Toilette, -n		die	A1	toilet
Unglück	das Unglück, -e		das	B1	misfortune, disaster
verlegen, verlegt, verlegte, hat verlegt	verlegen, verlegt, verlegte, hat verlegt		verb	B2+	to misplace, postpone
Eröffnung	die Eröffnung, -en		die	B2+	opening
Fragestellung	die Fragestellung, -en		die	B2+	problem, question
Grieche	der Grieche, -n		der	B2+	Greek
industriell	industriell		adj	B2+	industrial
konfrontieren, konfrontiert, konfrontierte, hat konfrontiert	konfrontieren, konfrontiert, konfrontierte, hat konfrontiert		verb	B2+	to confront
Sex	der Sex		der	B2+	sex
wovon	wovon		pron	B2+	from what, about what
absurd	absurd		adj	B2+	absurd
Miete	die Miete, -n		die	A1	rent
angehören, gehört an, gehörte an, hat angehört	angehören, gehört an, gehörte an, hat angehört		verb	B2+	to belong
